人生,cuộc sống
人間,con người
人,người
祖先,tổ tiên
親戚,người thân, họ hàng
夫婦,vợ chồng
長男,trưởng nam
主人,chồng; chủ tiệm
双子,sinh đôi
迷子,trẻ lạc
他人,người khác
適,kẻ thù
味方,đồng minh
筆者,tác giả
寿命,tuổi thọ
将来,tương lai
才能,tài năng
能力,năng lực
長所,sở trường
個性,cá tính
遺伝,di truyền
動作,động tác
真似,bắt chước;copy
食欲,thèm ăn
睡眠,giấc ngủ
外食,ăn ngoài 
家事,việc nhà
出産,sinh đẻ
共働き,vợ chồng cùng làm
介護,chắm sóc, chăm nom
出勤,đi làm
出世,thành đạt
地位,địa vị
受験,dự thi
専攻,chuyên môn
平日, ngày thường
日付, ngày tháng
日中, ban ngày
日程, lịch trình
日帰り,đi về trong ngày
順序, thứ tự
時期, thời kì
現在, hiện tại
臨時, tạm thời
費用, chi phí
定価, giá cố định
割引, giảm giá
おまけ, quà khyến mại
無料, miễn phí
現金, tiền mặt
合計, tổng cộng
収入, thu nhập
支出, chi phí
予算, ngân sách; dự toán
利益, lợi nhuận
赤字, lỗ thâm hụt
経費,kinh phí
勘定, tính toán; thanh toán
弁償, bồi thường
請求, yêu cầu
景気, kinh tế
募金, quyên tiền
募集, tuyển dụng
価値, giá trị

